distance,size,num_of_rooms,floor,price
1658,54,2,23,249000
1658,55,2,1,276888
1658,104,4,12,441000
1658,64,2,0,307888
1658,57,2,0,229888
1658,55,2,1,262888
1658,73,2,2,632888
4688,56,1,30,300000
1658,70,2,23,435888
3796,72,3,6,210000
2645,170,3,0,225000
4462,84,3,5,225000
1540,117,3,1,339000
2645,75,3,0,315000
2174,56,3,1,179000
4462,82,3,5,182000
1658,32,1,8,183888
4593,78,3,1,189000
3091,393,6,18,499000
1658,33,1,0,168888
1658,32,1,3,164888
1658,32,1,3,164888
1658,32,1,2,164888
672,180,6,0,692191
1658,33,1,1,171888
1658,143,5,12,645000
1658,34,1,2,177888
1658,34,1,3,178888
3763,141,5,5,369000
2976,163,5,5,370000
3062,73,3,3,219690
2976,57,2,1,184650
2976,69,2,2,200500
3230,95,4,0,288000
1540,123,5,1,269900
3974,103,5,8,219000
1658,55,2,1,249500
3230,103,3,4,287000
3230,84,3,2,240000
2462,83,3,4,315172
3062,65,3,4,230000
4181,43,2,3,120000
2402,51,3,6,220000
1658,211,5,8,844000
2174,201,5,6,495000
6660,90,3,12,205000
3062,112,3,3,310000
3381,110,4,8,176000
4688,55,2,3,306000
2172,53,2,7,172000
2402,60,2,3,295000
2174,65,2,3,185000
4593,57,3,1,174000
2402,83,3,4,235000
2402,255,5,6,1200000
1540,130,5,2,455000
672,61,3,11,232000
2402,283,7,4,1130000
2783,69,3,1,195000
672,60,3,4,200000
4553,69,3,1,179000
3974,61,3,1,170000
2645,65,3,4,220000
347,67,3,1,270000
6073,84,3,3,220000
4143,89,3,4,300000
4544,89,3,4,300000
5174,113,3,2,250000
4553,78,3,11,214000
5678,81,3,10,229000
6073,81,3,9,165000
5302,72,3,1,185800
2172,69,3,13,227000
5302,91,3,7,220000
2071,86,3,5,275000
2973,75,3,3,225000
7199,85,3,2,185000
4593,60,3,0,175200
4462,89,3,4,204900
3230,84,3,2,240000
2174,73,3,1,270000
5302,91,3,13,215000
2451,65,3,4,199000
4553,95,3,1,210000
347,181,3,3,625000
2174,71,3,4,235000
2973,74,3,2,205000
6554,71,3,4,163000
7014,63,3,12,162000
3091,67,3,4,198500
3062,96,4,5,280000
4553,69,3,1,179000
2402,240,4,1,850000
2402,186,4,4,725400
2402,96,4,1,340000
2971,100,4,6,339000
3381,137,4,8,259000
2174,110,4,4,394380
2174,132,4,2,420000
1658,106,4,7,442888
3230,112,4,7,308137
2174,86,4,6,309348
2174,99,4,4,295000
2174,95,4,5,343260
2174,107,4,5,384480
1658,115,4,0,423888
1658,163,4,14,1479888
1658,116,4,5,442888
1658,117,4,4,448888
1658,117,4,1,434888
6554,117,4,3,220000
2462,88,4,2,195000
4181,53,2,4,155000
5302,61,3,13,115000
672,105,4,4,245000
1658,125,4,5,452888
1658,199,4,21,1272888
6073,101,4,4,395000
1540,122,4,3,410000
1658,117,4,6,429888
672,114,4,3,438130
672,127,4,5,489181
6660,92,4,10,300000
2451,165,4,6,445000
3381,94,4,1,250000
2451,85,3,2,250000
2976,85,3,6,255180
1540,93,3,1,330000
4544,76,3,3,304300
2783,73,3,4,220000
2402,71,3,1,250000
5302,80,3,1,239900
3974,92,3,8,319000
4688,68,3,6,238000
1658,90,3,1,405000
1658,79,3,1,331800
1658,92,3,6,414000
3200,76,3,2,190000
3230,112,4,5,334800
2462,100,4,5,250000
3230,159,4,7,800000
1540,100,3,2,695000
347,61,3,0,180000
7199,68,3,2,185000
2174,105,4,4,366030
7199,76,3,1,166900
3763,64,2,8,200000
1540,60,3,4,166000
2451,75,3,2,250000
3974,92,3,8,285000
3062,65,3,4,220000
3230,86,3,4,287000
2462,150,5,2,500000
347,400,5,1,1350000
2402,192,5,7,866115
347,154,5,1,650000
2402,70,3,6,220000
2402,177,5,3,794700
2402,66,3,1,235000
4168,92,4,2,288000
2973,87,4,7,232000
3381,154,5,1,310000
